gene_symbol,log2fc,pval,padj
UBA2,1.9400089,7.895508384870285e-96,4.1957158341437715e-94
PLP2,0.9854363,7.26133898066795e-95,3.83796900639498e-93
RASL12,5.018512,1.0220651240920665e-94,5.3732204464968485e-93
EMP2,1.423293,2.5063922397968833e-94,1.3141515791703019e-92
TUBB,0.9389196,5.322152141148952e-94,2.783089239342306e-92
RASSF3,2.7059946,7.711912080495272e-94,4.022058761981381e-92
MT-CYB,0.34940287,8.657505510476045e-94,4.5032770726714286e-92
PCDH7,4.6440616,8.992566490448307e-94,4.6652201143850824e-92
SRP14,0.55037755,1.0801702166385582e-93,5.57435874003867e-92
MAP3K7CL,4.0761876,4.901023607502679e-93,2.5029591213173423e-91
ITGA10,3.8958428,6.376071949358965e-93,3.2478322971061136e-91
H2AFJ,1.0808398,9.168146357797147e-93,4.657986916976938e-91
BSG,0.96685165,1.778700218994544e-92,9.013609202544001e-91
COL14A1,2.2521174,3.458616159931685e-92,1.7481570934852646e-90
AQP1,1.6271065,8.39291897262033e-92,4.2205005841345505e-90
FAM129A,1.6278685,1.715083920851047e-91,8.602545931574819e-90
DMPK,4.3408823,7.614279537952645e-91,3.809464739827606e-89
NUCKS1,1.0004478,6.874423936389867e-90,3.421896795880951e-88
MTHFD2,1.5570807,1.226023893483054e-89,6.087394392339345e-88
MBNL1-AS1,4.2225237,1.5162890065962719e-89,7.509640918815088e-88
MEF2C,1.6076659,1.2822998208939614e-88,6.334818863923887e-87
EFEMP1,1.2111917,2.34992573860798e-88,1.1551059968127526e-86
FIBIN,1.9245222,1.2484734129863186e-87,6.091187157850372e-86
COX6A1,0.7278544,2.2491946850563374e-87,1.0946451954845967e-85
ALDH1B1,4.645534,6.1168308967127405e-87,2.9622938199794556e-85
RARRES2,1.1907712,3.396035725223645e-86,1.6365895693467478e-84
RPS27L,0.79781115,8.549401600753531e-86,4.109983723081074e-84
RNF115,1.6757456,9.033552181491165e-86,4.332139097377544e-84
COL8A1,2.9571295,4.273032240537228e-85,2.0392320367340527e-83
PDLIM1,1.1342341,1.2322815169052073e-84,5.866614814864452e-83
NME4,2.1521778,2.0009323303087907e-84,9.480079874344927e-83
SDC2,1.4001127,2.5105338321973007e-83,1.1837437939727417e-81
BCAP29,1.5898411,1.3120381167233692e-81,6.084267323352568e-80
SPEG,4.6238017,1.3635802068700632e-79,6.249583689389087e-78
ISCU,0.945058,2.2332059058343584e-79,1.0187771350467554e-77
ZBTB16,1.2424884,2.267040817370539e-79,1.0318184386837857e-77
IGFBP6,0.67795527,3.1914133004154064e-79,1.4491817162302015e-77
ARID5A,1.3160822,5.374578190447252e-79,2.429309342082158e-77
TCEAL1,2.0338457,1.5594345494271678e-78,7.000365778729902e-77
NFIA,1.215428,8.275143562719142e-77,3.6894755721130105e-75
COX7C,0.44008294,6.719940786431636e-76,2.9691567582655917e-74
ADI1,1.0571271,7.629640046225164e-76,3.363542210512986e-74
RAB34,1.3562688,1.6945874763985288e-75,7.453910282091247e-74
RRAS,2.0515778,2.412677067404536e-75,1.0588851897166962e-73
NENF,1.1623639,2.007008703757695e-74,8.711215261210551e-73
CHURC1,1.1224855,9.600886590015929e-74,4.148849057865785e-72
SH3BGR,4.8964615,5.0571194596749805e-73,2.1805500617572253e-71
MYH9,1.1429352,5.885829248030258e-73,2.5323232970409397e-71
EPAS1,1.2047597,6.111312613809882e-73,2.6235945111949762e-71
PPFIBP1,2.0209827,1.170956532775132e-72,5.015979814253735e-71
UQCRQ,0.7503462,2.922460719880999e-72,1.249161362484787e-70
ANXA6,1.1858362,4.640775336648399e-72,1.979325914732773e-70
UQCRB,0.46110463,5.523502965518353e-72,2.3507167815589148e-70
ITM2C,1.7190472,1.5957364109751098e-71,6.761933041507028e-70
HSPB2,2.3656218,3.332076914861319e-70,1.3998994935898132e-68
CD59,0.8724682,1.0297516765583657e-69,4.317052764283707e-68
LHFPL6,2.2871609,8.544194126776382e-69,3.5592361212007884e-67
ADH5,1.1899741,1.583685399046005e-68,6.583175965336692e-67
CCDC3,2.9788923,4.7189416169425546e-68,1.9533437909963055e-66
BAG2,2.4444242,1.4093507943628092e-67,5.797208225682334e-66
CSDC2,4.9860387,2.194118389876092e-67,9.006420831261737e-66
NUPR1,0.81390554,9.431895194453402e-67,3.855507761192158e-65
HSPB6,1.7773694,5.708658647405663e-66,2.328706355296476e-64
CD63,0.8023655,6.51516689277263e-66,2.6521989947348955e-64
DEPP1,2.1003642,7.480598423101092e-66,3.038915830475489e-64
BRK1,0.73020226,8.340541475871357e-66,3.381272711310982e-64
SSPN,1.9085362,1.8845245304308236e-65,7.592934696174356e-64
NDUFS5,0.64075047,2.306103851537015e-65,9.272518185873373e-64
MT2A,0.84486675,3.7214679395154425e-65,1.4932959719745434e-63
COX6C,0.58035785,4.0488194132810225e-65,1.6213419002837366e-63
SELENOW,1.4936521,7.85169933391088e-65,3.1378071606373114e-63
DMD,3.866431,1.5188456519297273e-64,6.057513835343265e-63
RABAC1,0.7432415,6.657506371070778e-64,2.6391106908869685e-62
PTK2,2.8016891,1.2191829029962522e-63,4.81356912423942e-62
STK38L,2.1995773,1.7663311932191005e-63,6.945920784214791e-62
LAPTM4A,0.71952736,2.2426346600140088e-63,8.76633850600307e-62
ZFHX3,1.670245,4.574373216198189e-63,1.781016359938392e-61
PAM,1.5263621,5.093391414418595e-63,1.97917513814819e-61
TUBB6,1.2564906,7.16210734726383e-63,2.772073910667351e-61
YWHAH,1.2186573,2.32099162836159e-62,8.948105371930506e-61
LTBP2,3.2365668,3.1492887076253274e-62,1.2094006751822106e-60
BANF1,1.0971941,6.6589397808170085e-62,2.5373657746206207e-60
OSR1,3.217621,2.207783053921377e-61,8.347967385808099e-60
MYOCD,5.952929,2.3875156659447886e-61,9.010236664838087e-60
EIF5B,0.9217027,2.7703406188852037e-61,1.0414997561858676e-59
RAB13,1.0629154,3.9509015025521646e-61,1.4824928500606997e-59
ZYX,1.3228562,1.01163990371206e-60,3.7887359593879095e-59
APLP2,0.77686393,1.0976652291381934e-60,4.103097668310867e-59
DYNC1I2,1.0768042,2.115048288856952e-60,7.861262656995349e-59
