gene_symbol,log2fc,pval,padj
ARFRP1,0.52415514,0.0003151609717618302,0.0019328431150284172
NREP,1.9523643,0.00031987860775147247,0.0019611640740908797
TMEM38B,1.2781886,0.00032328899066537913,0.001981455154134253
PHF14,0.42792138,0.00032560717377407223,0.001993178160257101
HSF1,0.48893416,0.000329070955530086,0.0020131279177450375
DAP,0.59119505,0.00033683160103851556,0.002059323053364208
SUCLG1,0.25521356,0.0003394028260898423,0.0020743980001798196
PUF60,0.33026233,0.00034026142117954443,0.002078353545583163
RAN,0.13696963,0.0003409647215301017,0.0020820025946350494
SEMA5A,3.526669,0.0003412429668633187,0.002083054707999557
NCOR1,0.27845135,0.0003457316554389576,0.002109800064941274
NKD1,2.969412,0.00034603298624706245,0.002110983734281645
FNDC4,2.515466,0.000349391353450648,0.00213014970280516
RDH14,0.72503895,0.0003506494751761228,0.002137157464635129
PSMD2,0.37418696,0.0003511282771637536,0.0021394125149035398
ANTXR2,0.8726157,0.0003558661827929358,0.002166937406650574
TLN2,1.3853517,0.0003562816829001405,0.0021687958047004836
RANBP3L,4.542642,0.00035682771531622795,0.0021714473966411864
RHBDF1,1.3268347,0.0003576973780952454,0.0021760661658752215
LYRM1,0.64233327,0.00035844639056608176,0.002179948323943798
NUBP2,0.5253309,0.00035941645567448224,0.0021844965537779503
VTI1B,0.299214,0.0003668691664830125,0.0022277274710898677
OXR1,0.55067265,0.0003734644386530615,0.002266375861974227
BMPR2,0.3660916,0.000375844232729745,0.0022794106427921792
NOTCH2,0.70709,0.0003826649002901247,0.0023172027315997634
LHFP,0.14321992,0.0003919413614363866,0.0023726450272666976
SMAD9,1.4921521,0.00039358558646229654,0.002381865128046068
HSBP1,0.040064685,0.0003967165555262556,0.002399335870426711
SZRD1,0.46017194,0.000408383355252093,0.002466861299836145
LSM1,0.38111907,0.00041374281072145767,0.0024984677961932744
GAB1,1.6662998,0.0004140578095257483,0.002499602287655899
CCDC85B,0.19073212,0.0004146700527817347,0.0025025299502131576
GOLGB1,0.4079755,0.000417152967446899,0.0025167418367416164
TMED7,0.5688457,0.0004240639317206528,0.0025568675331160613
PCGF2,1.2064466,0.0004242309505454526,0.002557090419872682
S100A13,-0.16101262,0.0004287827552224503,0.0025829431780587677
IL17B,5.571271,0.00042927254913565195,0.002585101641992401
SF3B4,0.5137604,0.00042981287843671915,0.002586770987396012
MFF,0.37792343,0.0004310673604256037,0.002593527062634094
VASP,0.20872156,0.00043636346098481407,0.0026237854342151114
EXOC7,0.56800765,0.00044666167581752027,0.002683245300923949
ARMCX2,0.8940932,0.00045139529394737897,0.0027108534726919256
C1orf54,0.088214226,0.00045629908303379036,0.0027394664337741636
PPFIA2,5.3942375,0.00046569884486111137,0.002791637404774138
IMMP2L,1.0576073,0.00046943977714495553,0.002813204784585223
CDK5RAP2,0.85544246,0.00047322175607079816,0.002835004926223045
COL4A5,4.1733546,0.000481402994752538,0.0028813837695051453
ALDH7A1,0.68186915,0.0004874745986905836,0.0029159493639958184
SDAD1,0.5479827,0.0004883029343016916,0.002919769685356793
ALKBH7,0.1698798,0.000488410258119138,0.002919769685356793
COPS4,0.45298225,0.0005153946691823534,0.0030736093374168737
CALHM2,0.52227885,0.0005164028055677822,0.0030786876783122294
TMEM237,0.7877099,0.0005178886985020532,0.0030866103637306364
MYL6B,0.5389452,0.0005208154642076363,0.003103113229469862
